dive,time,vertSpeed,horzSpeed,speed,speed_qc,glideAngle,buoyancy,north_displacement,east_displacement
60,1770525758,-12.6270833897225,32.3680245439513,34.7438087694605,1,-21.3112436506123,-241.523225947405,-1.78088190950402,2.70477891936125
60,1770525768,-12.3956184367076,32.1704638974433,34.4759351404011,1,-21.0721991589859,-238.965948802799,-1.89600389114597,2.59815659218198
60,1770525778,-12.3122778462777,32.0537167684467,34.3370491515468,1,-21.0124760840248,-239.175050278502,-2.01474663516201,2.49385513991897
60,1770525788,-12.2924361767469,32.0114835803155,34.2905098849843,1,-21.0068307383662,-237.585872153985,-2.24884881569899,2.27726405602338
60,1770525798,-12.3010446487728,32.019723117269,34.3012881384602,1,-21.0153206019328,-239.013800474249,-2.38120898875199,2.14162825915961
60,1770525808,-12.3070969233767,32.0458231960026,34.3278228116909,1,-21.0091279224859,-237.788477584059,-2.42652230530637,2.09120147654288
60,1770525818,-12.3072615683729,32.0483011069834,34.3301950352197,1,-21.0079017823059,-240.6641683182,-2.39314647526262,2.13354265781767
60,1770525828,-12.3131913052103,32.0189386164147,34.3049137914736,1,-21.0347283159705,-236.633008393981,-2.27003611953358,2.25810989928087
60,1770525838,-12.3264148442312,32.0129737352186,34.3040958237334,1,-21.0589188795554,-238.688813581225,-2.2530753403758,2.27329227538992
60,1770525848,-12.3111969544218,31.989989325064,34.2771788143113,1,-21.048985615987,-237.721964955302,-2.20772350086866,2.31507043389382
60,1770525858,-12.2565070278801,31.9201889599507,34.1924030709079,1,-21.0054667488537,-237.289287820393,-2.14876522626795,2.36046449555405
60,1770525868,-12.2194522621176,31.886154308666,34.147354951478,1,-20.9678946208543,-237.058532410626,-2.08537302875485,2.41131105547128
60,1770525878,-12.1979511864873,31.8981379521343,34.1508596957868,1,-20.927015851165,-237.633420230293,-1.92837408606091,2.5425237236114
60,1770525888,-12.1823543992371,31.9276283561197,34.1728431821982,1,-20.8849298391659,-238.885086258158,-1.84277171035745,2.60689248929752
60,1770525898,-12.2211489021218,31.9864988145223,34.2416790899522,1,-20.9104619797763,-238.947008497133,-1.82466132565816,2.62677103858711
60,1770525908,-12.2309086640753,31.9929729314011,34.2512108360904,1,-20.9218476448359,-239.291718314829,-1.74171447410642,2.68364190244932
60,1770525918,-12.1465422580038,31.8921608528011,34.1269455516665,1,-20.8499829469629,-238.441501121091,-1.72729724362589,2.68020059843288
60,1770525928,-12.0790228402932,31.8226631821103,34.0379888474387,1,-20.7854083038367,-237.309130909533,-1.77643512065641,2.6406671473876
60,1770525938,-12.0665738256736,31.8330428288504,34.0432786263875,1,-20.7596206207053,-239.399355717818,-1.75811198500102,2.65491034359406
60,1770525948,-12.0310935514227,31.8177323628756,34.0163975864386,1,-20.7128797283286,-238.311832629603,-1.74886541089468,2.65803512048505
60,1770525958,-11.9823849198573,31.7999097714764,33.9825221230218,1,-20.6466914060749,-238.968747942169,-1.69680043015681,2.68871096913061
60,1770525968,-11.9766223899157,31.8069083520746,33.9870402181171,1,-20.6334406713909,-240.668467247869,-1.68316549965454,2.69959162076992
60,1770525978,-11.9926110748393,31.8028543084963,33.9888843971054,1,-20.6610724582709,-237.692743770945,-1.57249990307651,2.76358724994677
60,1770525988,-11.9954749564806,31.7889175372933,33.9768553227692,1,-20.67388363046,-240.008400754633,-1.61929783742938,2.73480993304372
60,1770525998,-11.95710188526,31.7021603738959,33.8821377405073,1,-20.6649675623093,-237.906739806373,-1.60462972881613,2.73522654741164
60,1770526008,-11.9320487892416,31.6171436128402,33.7937502882383,1,-20.6760922476355,-236.129509937547,-1.65208429964862,2.6957476085873
60,1770526018,-12.0311352108895,31.7160096994682,33.9212836685092,1,-20.7737149456196,-236.51724598857,-1.71194730408842,2.66950886427447
60,1770526028,-12.1519914487812,31.885801815362,34.122943213911,1,-20.8623338524412,-238.82289956387,-1.76888506521816,2.65370611210551
60,1770526038,-12.0974432720572,31.8791393074861,34.0973262398498,1,-20.7806695860434,-239.237988417209,-1.8802989226873,2.5743486926215
60,1770526048,-11.943948673049,31.738807216114,33.9117943112138,1,-20.6223237294541,-238.737725930855,-1.9031907944427,2.53876758846137
60,1770526058,-11.8741181042176,31.6273891082459,33.7829309349751,1,-20.5780347260854,-238.52698109556,-2.04611588984541,2.4125356910086
