dive,startTime,startLatitude,startLongitude,endTime,endLatitude,endLongitude,duration_hr,distance_km,maxDepth_m,dac_n,dac_e,dac_n_gsm,dac_e_gsm,dac_qc,avg_speed_n,avg_speed_e,avg_speed_n_gsm,avg_speed_e_gsm,hdm_qc
39,1770205959,21.24975,-158.18375,1770226475,21.2738166666667,-158.213066666667,5.69888888888889,4.04855094363632,993.062934273941,-0.0116453474601141,-0.0101486908279414,-0.0119267017243453,-0.0108302824850416,1,0.1422751322179,-0.138146030774094,0.142556486482131,-0.137464439116994,1
40,1770228429,21.2747833333333,-158.215533333333,1770246750,21.2585333333333,-158.195016666667,5.08916666666667,2.79012644459411,991.021809315101,0.0644901387569105,-0.0552485486821651,0.0695287187267697,-0.0572765428442155,1,-0.163264179509446,0.171464759985622,-0.168302759479305,0.173492754147673,1
41,1770247652,21.2614,-158.197966666667,1770266617,21.22805,-158.183566666667,5.26805555555556,3.99738616763198,995.841471824626,-0.0146178292626587,-0.00852448966850896,-0.0232725109215732,-0.00839801492898932,1,-0.181211011810645,0.0873339645217072,-0.172556330151731,0.0872074897821876,1
42,1770267286,21.2285833333333,-158.183516666667,1770286178,21.2791666666667,-158.204783333333,5.24777777777778,6.04097904121208,991.908617635031,0.0889333249265303,-0.0296020210767549,0.0891520430140271,-0.0308720520693768,1,0.209234391199603,-0.0872296944301845,0.209015673112106,-0.0859596634375626,1
43,1770286720,21.2799833333333,-158.2054,1770305319,21.3083166666667,-158.2349,5.16638888888889,4.38939368706132,992.314291554113,0.00609034140950482,0.00634531197546611,0.011390464321304,-0.000828471255680223,1,0.16355577574124,-0.170917923593621,0.158255652829441,-0.163744140362474,1
44,1770306320,21.3102333333333,-158.235783333333,1770324965,21.3462333333333,-158.2724,5.17916666666667,5.51443306097857,991.246973127817,0.0486694020601144,-0.0516262857590071,0.0446942942281425,-0.0507506616029284,1,0.166348237629798,-0.152096170849399,0.17032334546177,-0.152971795005477,1
45,1770325649,21.3494666666667,-158.2743,1770342276,21.3780666666667,-158.299883333333,4.61861111111111,4.13909598487449,991.244771813777,0.0236274183978831,-0.00850213523125802,0.0220438433700312,-0.00718869202105743,1,0.167933164041612,-0.151078611897944,0.169516739069464,-0.152392055108144,1
46,1770342885,21.3782666666667,-158.298883333333,1770361686,21.3405666666667,-158.305816666667,5.2225,4.25309224055737,993.942887539284,0.0066258250856607,-0.00140366892423698,0.00290032823625522,-0.0038668238507392,1,-0.229928128071414,-0.0368426883202551,-0.226202631222008,-0.0343795333937529,1
47,1770365212,21.34705,-158.3122,1770383625,21.3925666666667,-158.312416666667,5.11472222222222,5.06127213867362,993.325025636703,0.0460682281221351,-0.0159021440548326,0.0514130574066106,-0.0151447283534058,1,0.229219550013139,0.0146818235311355,0.223874720728663,0.0139244078297088,1
48,1770384243,21.3922666666667,-158.312533333333,1770402873,21.4163833333333,-158.340683333333,5.17499999857585,3.96031346555181,993.034181718727,-0.0164182728885686,0.0115691357764834,-0.0125513903251224,0.00827098255158675,1,0.160575837477732,-0.168230326634026,0.156708954914286,-0.164932173409129,1
