dive_index,start_time,end_time,duration_s,start_latitude,start_longitude,end_latitude,end_longitude,distance_m,max_depth_m,num_yos,end_battery_capacity,batteryPercent,batteryVoltage,diskSpaceRemainingMb,diskSpaceRemainingPercent
120,2026-02-04T02:43:54.799999Z,2026-02-04T04:11:16.000000Z,5241.2,21.354414,-158.28435,21.34669,-158.2782,1069.26,200.489,2,17039,81.0,3573.0,54953.0,98.0
121,2026-02-04T04:12:52.000000Z,2026-02-04T05:36:17.700000Z,5005.7,21.346716,-158.27827,21.34326,-158.27318,652.36,200.324,2,17019,81.0,3573.0,54944.0,98.0
122,2026-02-04T05:39:16.000000Z,2026-02-04T07:02:38.900000Z,5002.9,21.343445,-158.2733,21.342813,-158.2689,461.09,200.333,2,16953,80.0,3573.0,54935.0,98.0
123,2026-02-04T07:06:25.099999Z,2026-02-04T08:31:15.299999Z,5090.2,21.343054,-158.2691,21.342707,-158.2691,38.58,200.352,2,16914,80.0,3573.0,54926.0,98.0
124,2026-02-04T08:33:12.099999Z,2026-02-04T09:57:10.700000Z,5038.6,21.34276,-158.2691,21.342209,-158.26907,61.35,200.315,2,16897,80.0,3573.0,54917.0,98.0
125,2026-02-04T09:58:10.000000Z,2026-02-04T11:20:13.500000Z,4923.5,21.34225,-158.26913,21.33986,-158.26682,357.58,200.352,2,16863,80.0,3573.0,54908.0,98.0
126,2026-02-04T11:21:34.000000Z,2026-02-04T12:43:56.700000Z,4942.7,21.339928,-158.2668,21.332567,-158.26196,959.82,200.379,2,16844,80.0,3573.0,54900.0,98.0
127,2026-02-04T12:45:05.900000Z,2026-02-04T14:08:31.500000Z,5005.6,21.332579,-158.26198,21.320473,-158.25818,1402.49,200.434,2,16810,80.0,3570.0,54891.0,98.0
128,2026-02-04T14:09:27.799999Z,2026-02-04T15:49:27.900000Z,6000.1,21.320522,-158.25826,21.31101,-158.2525,1214.38,190.345,2,16774,79.0,3575.0,54880.0,98.0
129,2026-02-04T15:51:28.900000Z,2026-02-04T17:15:11.900000Z,5023.0,21.311043,-158.25269,21.307087,-158.2474,702.72,200.397,2,16707,79.0,3573.0,54871.0,98.0
130,2026-02-04T17:18:14.000000Z,2026-02-04T18:35:30.299999Z,4636.3,21.307613,-158.2476,21.30427,-158.24403,524.36,200.406,2,16700,79.0,3573.0,54863.0,98.0
131,2026-02-04T18:36:20.000000Z,2026-02-04T19:29:46.700000Z,3206.7,21.30439,-158.24408,21.306187,-158.24509,225.55,200.406,0,16673,79.0,3573.0,54814.0,97.0
132,2026-02-04T19:30:37.000000Z,2026-02-04T20:48:40.000000Z,4683.0,21.306286,-158.24506,21.305843,-158.24506,49.26,200.287,2,16621,79.0,3573.0,54806.0,97.0
133,2026-02-04T20:49:44.799999Z,2026-02-04T22:08:42.400000Z,4737.6,21.305904,-158.24512,21.307562,-158.24585,199.27,200.489,2,16601,79.0,3570.0,54797.0,97.0
134,2026-02-04T22:13:31.000000Z,2026-02-04T23:31:40.700000Z,4689.7,21.30816,-158.24643,21.30969,-158.2456,190.62,200.352,2,16503,78.0,3568.0,54788.0,97.0
135,2026-02-04T23:34:40.000000Z,2026-02-05T00:50:57.299999Z,4577.3,21.31003,-158.24576,21.30871,-158.24231,386.36,200.443,2,16531,78.0,3570.0,54780.0,97.0
136,2026-02-05T00:52:44.000000Z,2026-02-05T02:08:25.700000Z,4541.7,21.308907,-158.2424,21.301552,-158.2387,903.21,200.544,2,16490,78.0,3565.0,54772.0,97.0
137,2026-02-05T02:09:52.000000Z,2026-02-05T03:20:59.900000Z,4267.9,21.301678,-158.2388,21.293442,-158.23485,1003.07,200.416,2,16453,78.0,3568.0,54764.0,97.0
138,2026-02-05T03:21:49.000000Z,2026-02-05T04:37:01.299999Z,4512.3,21.293524,-158.23488,21.286764,-158.22884,978.07,200.26,2,16404,78.0,3565.0,54756.0,97.0
139,2026-02-05T04:38:00.000000Z,2026-02-05T05:48:10.700000Z,4210.7,21.286978,-158.22908,21.279778,-158.223,1018.73,200.406,2,16369,77.0,3565.0,54749.0,97.0
140,2026-02-05T05:53:33.000000Z,2026-02-05T07:24:19.700000Z,5446.7,21.280222,-158.2231,21.276535,-158.21892,596.38,190.455,2,16312,77.0,3568.0,54739.0,97.0
141,2026-02-05T07:27:44.000000Z,2026-02-05T08:55:01.599999Z,5237.6,21.276567,-158.21901,21.273815,-158.21265,726.59,190.455,2,16289,77.0,3570.0,54730.0,97.0
